address
Prishtina, Kosovo
Prizren, Kosovo
Peja, Kosovo
Gjakova, Kosovo
Mitrovica, Kosovo
Ferizaj, Kosovo
Gjilan, Kosovo
Rahovec, Kosovo
Suhareka, Kosovo
Lipjan, Kosovo
Malisheva, Kosovo
Vushtrri, Kosovo
Skenderaj, Kosovo
Deçan, Kosovo
Istog, Kosovo
Klina, Kosovo
Dragash, Kosovo
Junik, Kosovo
Kamenica, Kosovo
Kaçanik, Kosovo
Shtime, Kosovo
Obiliq, Kosovo
Podujeva, Kosovo
Drenas, Kosovo
Fushë Kosovë, Kosovo
Gračanica, Kosovo
Hani i Elezit, Kosovo
Kllokot, Kosovo
Leposaviq, Kosovo
Mamushe, Kosovo
Novobërdë, Kosovo
Partesh, Kosovo
Ranillug, Kosovo
Shtrpce, Kosovo
Zubin Potok, Kosovo
Zveçan, Kosovo
Brezovica, Kosovo
Brod, Kosovo
Burim, Kosovo
Çagllavica, Kosovo
Dubrava, Kosovo
Gllogoc, Kosovo
Gllogovc, Kosovo
Kosovska Mitrovica, Kosovo
Llap, Kosovo
Llapi, Kosovo
Llapushnik, Kosovo
Lubovë, Kosovo
Magura, Kosovo
Nekoc, Kosovo
Orllan, Kosovo
Plemetin, Kosovo
Pomazotin, Kosovo
Qendër, Kosovo
Rudnik, Kosovo
Sllatina, Kosovo
Sllovi, Kosovo
Smirë, Kosovo
Srbica, Kosovo
Stublla, Kosovo
Ujëmani, Kosovo
Vërmica, Kosovo
Viti, Kosovo
Zllakuqan, Kosovo

